Date,Value
1987-07,10.333
1988-07,9.809
1989-07,10.13
1990-07,9.247
1991-07,9.514
1992-07,10.323
1993-07,9.476
1994-07,9.925
1995-07,8.987
1996-07,10.164
1997-07,9.411
1998-07,9.415
1999-07,9.488
2000-07,9.513
2001-07,9.07
2002-07,9.274
2003-07,9.215
2004-07,9.431
2005-07,8.649
2006-07,8.46
2007-07,7.943
2008-07,8.678
2009-07,8.465
2010-07,8.075
2011-07,7.724
2012-07,7.672
2013-07,8.132
2014-07,8.108
2015-07,8.378
2016-07,7.938
2017-07,7.939
2018-07,8.268
2019-07,7.589
2020-07,7.294
2021-07,7.647
2022-07,8.287
2023-07,8.183
1979-08,8.041
1980-08,7.984
1981-08,7.844
1982-08,8.139
1983-08,8.186
1984-08,7.771
1985-08,7.402
1986-08,7.979
1987-08,7.628
1988-08,7.892
1989-08,7.882
1990-08,6.797
1991-08,7.415
1992-08,7.925
1993-08,7.335
1994-08,7.639
1995-08,6.744
1996-08,8.18
1997-08,7.285
1998-08,7.509
1999-08,7.226
2000-08,7.168
2001-08,7.461
2002-08,6.599
2003-08,6.936
2004-08,6.855
2005-08,6.301
2006-08,6.496
2007-08,5.342
2008-08,5.913
2009-08,6.136
2010-08,5.875
2011-08,5.503
2012-08,4.723
2013-08,6.014
2014-08,6.078
2015-08,5.599
2016-08,5.371
2017-08,5.481
2018-08,5.615
2019-08,5.026
2020-08,5.07
2021-08,5.715
2022-08,5.95
2023-08,5.566
1979-09,7.051
1980-09,7.667
1981-09,7.138
1982-09,7.302
1983-09,7.395
1984-09,6.805
1985-09,6.698
1986-09,7.411
1987-09,7.279
1988-09,7.369
1989-09,7.008
1990-09,6.143
1991-09,6.473
1992-09,7.474
1993-09,6.397
1994-09,7.138
1995-09,6.08
1996-09,7.583
1997-09,6.686
1998-09,6.536
1999-09,6.117
2000-09,6.246
2001-09,6.732
2002-09,5.827
2003-09,6.116
2004-09,5.984
2005-09,5.504
2006-09,5.862
2007-09,4.267
2008-09,4.687
2009-09,5.262
2010-09,4.865
2011-09,4.561
2012-09,3.566
2013-09,5.208
2014-09,5.22
2015-09,4.616
2016-09,4.528
2017-09,4.822
2018-09,4.785
2019-09,4.364
2020-09,4.001
2021-09,4.952
2022-09,4.897
2023-09,4.371
1979-10,8.748
1980-10,9.183
1981-10,8.856
1982-10,9.421
1983-10,9.334
1984-10,8.561
1985-10,8.546
1986-10,9.484
1987-10,9.049
1988-10,9.135
1989-10,8.829
1990-10,8.485
1991-10,8.541
1992-10,9.319
1993-10,8.786
1994-10,8.915
1995-10,7.829
1996-10,9.161
1997-10,8.337
1998-10,8.452
1999-10,8.603
2000-10,8.379
2001-10,8.298
2002-10,8.162
2003-10,7.848
2004-10,7.925
2005-10,7.352
2006-10,7.541
2007-10,6.04
2008-10,7.35
2009-10,6.92
2010-10,6.984
2011-10,6.465
2012-10,5.886
2013-10,7.455
2014-10,7.232
2015-10,6.966
2016-10,6.082
2017-10,6.767
2018-10,6.134
2019-10,5.735
2020-10,5.334
2021-10,6.816
2022-10,6.657
2023-10,6.367
1979-11,10.943
1980-11,11.383
1981-11,10.929
1982-11,11.627
1983-11,11.461
1984-11,10.842
1985-11,11.025
1986-11,11.453
1987-11,11.224
1988-11,11.331
1989-11,11.115
1990-11,11.075
1991-11,10.885
1992-11,11.379
1993-11,11.319
1994-11,11.123
1995-11,10.761
1996-11,10.402
1997-11,10.684
1998-11,10.441
1999-11,10.796
2000-11,10.321
2001-11,10.658
2002-11,10.342
2003-11,10.125
2004-11,10.343
2005-11,10.216
2006-11,9.659
2007-11,9.76
2008-11,10.343
2009-11,9.772
2010-11,9.614
2011-11,9.772
2012-11,9.388
2013-11,9.939
2014-11,10.115
2015-11,9.846
2016-11,8.658
2017-11,9.493
2018-11,9.823
2019-11,9.353
2020-11,8.985
2021-11,9.83
2022-11,9.725
2023-11,9.659
1979-12,13.336
1980-12,13.593
1981-12,13.341
1982-12,13.642
1983-12,13.299
1984-12,12.989
1985-12,13.05
1986-12,13.222
1987-12,
1988-12,13.626
1989-12,13.387
1990-12,13.106
1991-12,12.945
1992-12,13.407
1993-12,13.319
1994-12,13.272
1995-12,12.921
1996-12,12.861
1997-12,13.076
1998-12,12.759
1999-12,12.641
2000-12,12.637
2001-12,12.491
2002-12,12.608
2003-12,12.588
2004-12,12.554
2005-12,12.228
2006-12,11.955
2007-12,12.034
2008-12,12.359
2009-12,12.2
2010-12,11.831
2011-12,12.154
2012-12,12.006
2013-12,12.184
2014-12,12.353
2015-12,12.045
2016-12,11.459
2017-12,11.743
2018-12,11.862
2019-12,11.903
2020-12,11.729
2021-12,12.152
2022-12,11.892
2023-12,12.003
